2019
iter:05900,transfer:2.13107,classifier:0.42575,heuristic:0.26577,relate:1.58371,gaussian:8.08116
iter: 05999, precision: 0.73026
iter:06000,transfer:2.05243,classifier:0.23844,heuristic:0.26707,relate:1.59439,gaussian:7.54905
iter:06100,transfer:2.06006,classifier:0.22976,heuristic:0.26617,relate:1.57344,gaussian:8.79249
iter:06200,transfer:2.04413,classifier:0.16788,heuristic:0.26754,relate:1.60085,gaussian:9.04655
iter:06300,transfer:2.10810,classifier:0.04536,heuristic:0.26515,relate:1.59030,gaussian:8.21147
iter:06400,transfer:2.07599,classifier:0.39527,heuristic:0.25726,relate:1.58511,gaussian:7.31128
iter:06500,transfer:2.12218,classifier:0.22875,heuristic:0.26201,relate:1.57543,gaussian:7.67473
iter:06600,transfer:2.06690,classifier:0.10426,heuristic:0.25107,relate:1.57399,gaussian:8.74226
iter:06700,transfer:2.14599,classifier:0.31378,heuristic:0.25110,relate:1.56350,gaussian:7.65527
iter:06800,transfer:2.08130,classifier:0.25784,heuristic:0.25073,relate:1.58494,gaussian:7.94833
iter:06900,transfer:2.05160,classifier:0.26791,heuristic:0.24523,relate:1.56793,gaussian:8.74729
iter: 06999, precision: 0.73228
iter:07000,transfer:2.08111,classifier:0.58355,heuristic:0.24304,relate:1.55250,gaussian:7.92986
iter:07100,transfer:2.14588,classifier:0.15610,heuristic:0.24745,relate:1.55247,gaussian:8.28098
iter:07200,transfer:2.15954,classifier:0.07841,heuristic:0.23925,relate:1.53615,gaussian:8.13092
iter:07300,transfer:2.10186,classifier:0.11281,heuristic:0.24262,relate:1.57551,gaussian:7.99044
iter:07400,transfer:2.04097,classifier:0.22868,heuristic:0.24115,relate:1.54895,gaussian:8.23048
iter:07500,transfer:2.11025,classifier:0.04972,heuristic:0.23490,relate:1.54997,gaussian:7.73610
iter:07600,transfer:2.03644,classifier:0.16459,heuristic:0.24375,relate:1.55990,gaussian:8.62348
iter:07700,transfer:2.15081,classifier:0.21189,heuristic:0.23441,relate:1.55001,gaussian:8.25590
iter:07800,transfer:2.14562,classifier:0.23187,heuristic:0.22576,relate:1.55163,gaussian:8.82872
iter:07900,transfer:2.18235,classifier:0.27511,heuristic:0.22989,relate:1.53245,gaussian:7.87607
iter: 07999, precision: 0.73211
iter:08000,transfer:2.14258,classifier:0.03537,heuristic:0.22871,relate:1.56773,gaussian:7.69458
iter:08100,transfer:2.11832,classifier:0.01238,heuristic:0.22174,relate:1.53460,gaussian:8.72835
